Model,Architecture,Generation,EtaC,LambdaC,DriftNorm
SmolLM_Trt,sequential,1,3.076171875e-05,65015.87301587302,9.320874214172363
SmolLM_Trt,sequential,2,0.00012890625,15515.151515151514,7.273839950561523
SmolLM_Trt,sequential,3,2.880859375e-05,69423.72881355933,6.644710540771484
SmolLM_Trt,sequential,4,6.8359375e-05,29257.142857142855,6.389640808105469
SmolLM_Trt,sequential,5,0.0002578125,7757.575757575757,6.2393879890441895
SmolLM_CtrlA,sequential,1,2.294921875e-05,87148.93617021276,11.885025024414062
SmolLM_CtrlA,sequential,2,0.00012890625,15515.151515151514,5.856688022613525
SmolLM_CtrlA,sequential,3,7.226562500000001e-05,27675.675675675673,5.92707633972168
SmolLM_CtrlA,sequential,4,4.58984375e-05,43574.46808510638,5.782886505126953
SmolLM_CtrlA,sequential,5,0.000515625,3878.7878787878785,6.142895698547363
GPT2,sequential,1,0.0006406249999999999,3121.9512195121956,54.03666305541992
GPT2,sequential,2,0.0003671875,5446.808510638298,35.42582702636719
GPT2,sequential,3,0.0002578125,7757.575757575757,30.134695053100586
GPT2,sequential,4,0.00019921875000000001,10039.215686274509,26.702529907226562
GPT2,sequential,5,0.00032031249999999996,6243.902439024391,24.759449005126953
Llama,sequential,1,6.8359375e-05,29257.142857142855,18.750930786132812
Llama,sequential,2,8.7890625e-05,22755.555555555555,21.606597900390625
Llama,sequential,3,0.00103125,1939.3939393939393,20.17147445678711
Llama,sequential,4,6.4453125e-05,31030.30303030303,17.734567642211914
Llama,sequential,5,6.4453125e-05,31030.30303030303,17.766809463500977
Phi15,parallel,1,0.006125,326.53061224489795,16.91963768005371
Phi15,parallel,2,0.040999999999999995,48.78048780487806,19.37377166748047
Phi15,parallel,3,200.704,0.009964923469387755,20.532306671142578
Phi15,parallel,4,176.128,0.011355377906976745,21.80670166015625
Phi15,parallel,5,0.000984375,2031.7460317460318,22.30809211730957
Pythia,parallel,1,0.00024609375,8126.984126984127,20.975175857543945
Pythia,parallel,2,0.000765625,2612.2448979591836,30.03251838684082
Pythia,parallel,3,0.000765625,2612.2448979591836,29.415178298950195
Pythia,parallel,4,0.000671875,2976.744186046512,25.080961227416992
Pythia,parallel,5,0.000984375,2031.7460317460318,27.134628295898438
